impact_speed,dead,airbag,seatbelt,frontal,sex,occupant_age,accident_year,vehicle_year,airbag_deploy,occupant,injury_level
25-39,alive,none,belted,0,f,31,1998,1990.0,unavail,driver,no injury
25-39,alive,airbag,belted,1,f,57,1998,1993.0,deploy,driver,incapacity
25-39,alive,airbag,none,1,m,17,1998,1995.0,deploy,driver,no incapacity
25-39,alive,airbag,belted,1,m,17,1998,1993.0,deploy,driver,no incapacity
10-24,alive,airbag,belted,1,f,32,1998,1995.0,deploy,driver,no incapacity
10-24,alive,airbag,belted,1,f,37,1998,1995.0,deploy,pass,no incapacity
10-24,alive,none,belted,1,m,19,1998,1987.0,unavail,driver,no incapacity
10-24,alive,none,belted,1,f,17,1998,1987.0,unavail,pass,no incapacity
1-9km/h,alive,none,belted,0,f,34,1998,1991.0,unavail,driver,no injury
25-39,alive,airbag,belted,0,f,48,1998,1994.0,deploy,driver,incapacity
10-24,alive,airbag,belted,1,m,32,1998,1995.0,deploy,driver,incapacity
10-24,alive,none,belted,0,f,43,1998,1982.0,unavail,driver,possible injury
10-24,alive,airbag,belted,1,f,41,1998,1997.0,nodeploy,driver,no incapacity
10-24,alive,airbag,belted,1,m,39,1998,1997.0,nodeploy,pass,possible injury
40-54,alive,none,belted,1,f,46,1998,1990.0,unavail,driver,possible injury
10-24,alive,airbag,belted,1,m,28,1998,1997.0,nodeploy,driver,no injury
10-24,alive,airbag,belted,1,f,30,1998,1997.0,nodeploy,driver,no injury
10-24,alive,none,belted,1,m,27,1998,1992.0,unavail,driver,possible injury
10-24,alive,airbag,belted,0,m,32,1998,1993.0,nodeploy,driver,possible injury
10-24,alive,airbag,belted,0,m,33,1998,1993.0,nodeploy,pass,no injury
25-39,alive,airbag,belted,1,f,33,1998,1998.0,deploy,driver,incapacity
10-24,alive,airbag,belted,0,f,22,1998,1996.0,deploy,driver,possible injury
10-24,alive,airbag,belted,0,f,41,1998,1996.0,deploy,pass,no incapacity
10-24,alive,airbag,belted,1,f,45,1998,1995.0,deploy,driver,possible injury
40-54,alive,none,belted,1,f,37,1998,1984.0,unavail,driver,incapacity
55+,alive,airbag,belted,1,f,36,1998,1998.0,deploy,driver,no incapacity
55+,alive,none,belted,1,m,22,1998,1991.0,unavail,driver,no incapacity
55+,alive,none,belted,1,f,22,1998,1991.0,unavail,pass,no incapacity
25-39,alive,none,belted,0,m,55,1998,1993.0,unavail,driver,no incapacity
25-39,alive,none,belted,1,m,42,1998,1976.0,unavail,driver,possible injury
25-39,alive,none,belted,1,m,23,1998,1991.0,unavail,driver,incapacity
25-39,alive,airbag,belted,1,f,36,1998,1995.0,deploy,driver,no incapacity
10-24,alive,airbag,none,0,f,32,1998,1993.0,deploy,driver,incapacity
10-24,alive,none,belted,1,f,51,1998,1985.0,unavail,driver,possible injury
25-39,alive,none,belted,0,f,28,1998,1994.0,unavail,driver,possible injury
25-39,alive,airbag,belted,1,m,41,1998,1996.0,deploy,driver,possible injury
10-24,alive,none,belted,0,m,69,1998,1984.0,unavail,driver,no injury
10-24,alive,none,belted,0,f,26,1998,1984.0,unavail,pass,no injury
10-24,alive,airbag,belted,1,f,27,1998,1996.0,deploy,driver,no injury
10-24,alive,airbag,belted,1,f,27,1998,1994.0,nodeploy,driver,no injury
10-24,alive,airbag,none,0,m,22,1998,1998.0,deploy,driver,incapacity
10-24,alive,none,belted,1,m,37,1998,1984.0,unavail,driver,no injury
10-24,alive,airbag,belted,1,f,29,1998,1996.0,deploy,driver,no incapacity
10-24,alive,none,belted,1,m,18,1998,1989.0,unavail,driver,no incapacity
10-24,alive,none,belted,1,m,18,1998,1989.0,unavail,pass,possible injury
10-24,alive,airbag,belted,1,m,25,1998,1996.0,deploy,driver,no incapacity
10-24,alive,airbag,belted,0,m,19,1998,1994.0,nodeploy,driver,possible injury
40-54,alive,none,belted,1,f,30,1998,1990.0,unavail,driver,incapacity
25-39,alive,airbag,belted,1,m,32,1998,1995.0,deploy,pass,incapacity
40-54,dead,airbag,belted,0,m,41,1998,1994.0,nodeploy,driver,killed
10-24,alive,none,none,1,m,48,1998,1995.0,unavail,driver,incapacity
40-54,alive,airbag,belted,1,f,79,1998,1997.0,deploy,driver,incapacity
10-24,alive,none,belted,0,f,28,1998,1990.0,unavail,driver,incapacity
10-24,alive,none,belted,0,f,45,1998,1990.0,unavail,pass,incapacity
10-24,alive,airbag,none,1,m,25,1998,1996.0,deploy,driver,incapacity
25-39,alive,airbag,belted,0,m,89,1998,1996.0,nodeploy,driver,incapacity
25-39,alive,airbag,belted,1,f,51,1998,1995.0,deploy,driver,no incapacity
55+,alive,none,belted,0,m,39,1998,1983.0,unavail,driver,incapacity
40-54,alive,none,belted,1,m,27,1998,1991.0,unavail,driver,no incapacity
25-39,alive,airbag,belted,1,m,18,1998,1994.0,deploy,driver,no injury
25-39,alive,airbag,belted,1,m,16,1998,1994.0,deploy,pass,possible injury
25-39,alive,none,belted,1,f,28,1998,1991.0,unavail,driver,possible injury
10-24,alive,airbag,belted,1,m,44,1998,1993.0,nodeploy,driver,no injury
40-54,alive,none,belted,1,m,48,1998,1989.0,unavail,driver,incapacity
40-54,alive,airbag,belted,1,m,42,1998,1994.0,deploy,driver,incapacity
10-24,alive,airbag,belted,1,f,23,1998,1995.0,deploy,driver,no injury
10-24,alive,none,belted,0,m,19,1998,1986.0,unavail,driver,possible injury
10-24,alive,airbag,belted,0,m,29,1998,1998.0,nodeploy,driver,possible injury
10-24,alive,airbag,belted,1,m,34,1998,1994.0,nodeploy,driver,no injury
10-24,alive,airbag,belted,1,m,30,1998,1994.0,nodeploy,pass,no injury
40-54,alive,none,belted,1,f,43,1998,1990.0,unavail,driver,no incapacity
40-54,alive,none,belted,1,f,44,1998,1990.0,unavail,pass,incapacity
25-39,alive,none,belted,1,m,19,1998,1990.0,unavail,driver,incapacity
25-39,alive,none,belted,1,m,17,1998,1990.0,unavail,pass,possible injury
25-39,alive,none,belted,0,m,23,1998,1995.0,unavail,driver,incapacity
10-24,alive,airbag,belted,0,f,17,1998,1993.0,nodeploy,driver,no incapacity
10-24,alive,none,belted,0,m,27,1998,1985.0,unavail,driver,incapacity
10-24,alive,airbag,belted,1,f,24,1998,1997.0,deploy,driver,possible injury
10-24,alive,none,belted,1,m,54,1998,1994.0,unavail,driver,possible injury
10-24,alive,airbag,belted,1,m,20,1998,1997.0,nodeploy,pass,no injury
10-24,alive,airbag,belted,1,m,20,1998,1995.0,deploy,driver,possible injury
40-54,dead,airbag,belted,0,f,42,1998,1998.0,deploy,driver,killed
40-54,alive,airbag,belted,1,m,34,1998,1998.0,deploy,driver,no incapacity
40-54,alive,none,none,1,m,34,1998,1966.0,unavail,driver,incapacity
25-39,alive,none,belted,1,m,39,1998,1991.0,unavail,driver,no injury
25-39,alive,none,none,1,f,20,1998,1995.0,unavail,driver,no incapacity
25-39,alive,none,belted,1,m,26,1998,1995.0,unavail,pass,no injury
10-24,alive,airbag,belted,0,m,22,1998,1997.0,deploy,driver,possible injury
10-24,alive,airbag,belted,0,m,19,1998,1997.0,deploy,pass,possible injury
10-24,alive,airbag,belted,1,m,20,1998,1996.0,nodeploy,driver,possible injury
10-24,alive,airbag,belted,0,f,33,1998,1997.0,nodeploy,driver,possible injury
10-24,alive,airbag,belted,1,f,28,1998,1996.0,deploy,driver,possible injury
10-24,alive,none,belted,1,f,30,1998,1988.0,unavail,driver,possible injury
10-24,alive,none,belted,0,m,18,1998,1984.0,unavail,driver,no incapacity
10-24,alive,none,belted,1,m,41,1998,1980.0,unavail,driver,no injury
25-39,alive,airbag,belted,0,m,23,1998,1990.0,deploy,driver,incapacity
40-54,alive,airbag,belted,1,f,37,1998,1996.0,deploy,driver,possible injury
10-24,alive,none,belted,1,m,45,1998,1990.0,unavail,driver,no injury
25-39,alive,none,belted,1,m,21,1998,1991.0,unavail,driver,incapacity
25-39,alive,none,belted,1,m,23,1998,1991.0,unavail,pass,incapacity
25-39,alive,airbag,belted,1,m,39,1998,1996.0,deploy,driver,no incapacity
40-54,alive,none,none,0,f,29,1998,1988.0,unavail,driver,incapacity
40-54,alive,none,none,0,m,32,1998,1988.0,unavail,pass,no incapacity
25-39,alive,none,belted,0,m,25,1998,1982.0,unavail,driver,possible injury
25-39,alive,none,none,0,m,24,1998,1982.0,unavail,pass,no incapacity
40-54,alive,none,belted,1,f,21,1998,1986.0,unavail,driver,no incapacity
10-24,alive,airbag,belted,1,f,70,1998,1993.0,deploy,driver,no incapacity
10-24,alive,none,belted,1,f,63,1998,1993.0,unavail,pass,possible injury
25-39,alive,none,belted,1,f,17,1998,1988.0,unavail,driver,no incapacity
25-39,alive,none,belted,1,m,17,1998,1988.0,unavail,pass,no incapacity
25-39,alive,airbag,belted,1,m,54,1998,1998.0,deploy,driver,no incapacity
25-39,alive,none,belted,1,f,17,1998,1989.0,unavail,driver,incapacity
10-24,alive,airbag,belted,0,m,38,1998,1996.0,nodeploy,driver,possible injury
10-24,alive,airbag,belted,0,f,35,1998,1996.0,nodeploy,pass,possible injury
25-39,alive,none,belted,0,f,28,1998,1990.0,unavail,driver,possible injury
25-39,alive,none,belted,0,m,32,1998,1990.0,unavail,pass,incapacity
40-54,alive,airbag,belted,1,f,31,1998,1998.0,deploy,driver,incapacity
25-39,alive,none,belted,0,f,19,1998,1987.0,unavail,driver,no injury
25-39,alive,none,belted,0,f,16,1998,1987.0,unavail,pass,incapacity
10-24,alive,airbag,belted,1,f,26,1998,1995.0,deploy,driver,no injury
10-24,alive,airbag,belted,1,m,33,1998,1995.0,deploy,pass,no injury
25-39,alive,none,belted,0,m,42,1998,1981.0,unavail,driver,incapacity
40-54,alive,airbag,belted,1,f,23,1998,1992.0,deploy,driver,possible injury
10-24,alive,airbag,belted,1,m,22,1998,1995.0,nodeploy,driver,no injury
10-24,alive,airbag,none,1,m,22,1998,1995.0,nodeploy,pass,possible injury
25-39,alive,airbag,none,1,f,50,1998,1992.0,deploy,driver,possible injury
25-39,alive,none,belted,1,m,58,1998,1987.0,unavail,driver,no incapacity
10-24,alive,none,belted,1,f,63,1998,1993.0,unavail,driver,no injury
10-24,alive,none,belted,1,f,37,1998,1993.0,unavail,pass,no injury
25-39,alive,airbag,belted,0,f,34,1998,1993.0,nodeploy,driver,incapacity
10-24,alive,none,belted,0,f,53,1998,1994.0,unavail,driver,incapacity
10-24,alive,airbag,belted,0,f,39,1998,1995.0,deploy,driver,possible injury
10-24,alive,none,belted,1,m,40,1998,1990.0,unavail,driver,possible injury
10-24,alive,airbag,belted,0,f,57,1998,1998.0,nodeploy,driver,no injury
10-24,alive,airbag,belted,0,m,31,1998,1994.0,nodeploy,driver,no injury
1-9km/h,alive,airbag,belted,0,f,29,1998,1997.0,deploy,driver,possible injury
25-39,alive,none,belted,1,m,26,1998,1992.0,unavail,driver,possible injury
10-24,alive,airbag,belted,1,f,22,1998,1995.0,nodeploy,driver,possible injury
10-24,alive,airbag,belted,1,f,19,1998,1996.0,nodeploy,driver,possible injury
25-39,alive,none,none,1,m,45,1998,1970.0,unavail,driver,no incapacity
25-39,alive,none,none,1,m,31,1998,1970.0,unavail,pass,
25-39,dead,airbag,belted,0,f,72,1998,1997.0,nodeploy,driver,killed
25-39,alive,none,belted,1,f,26,1998,1987.0,unavail,driver,no incapacity
25-39,alive,none,belted,1,f,51,1998,1987.0,unavail,pass,incapacity
25-39,dead,none,belted,0,m,23,1998,1991.0,unavail,driver,killed
10-24,alive,airbag,none,1,f,72,1998,1995.0,deploy,driver,no incapacity
10-24,alive,airbag,belted,0,f,51,1998,1996.0,nodeploy,driver,incapacity
10-24,alive,airbag,belted,1,m,48,1998,1996.0,deploy,driver,incapacity
10-24,alive,none,none,0,m,44,1998,1968.0,unavail,driver,incapacity
25-39,alive,airbag,belted,0,m,47,1998,1996.0,deploy,driver,incapacity
25-39,alive,airbag,belted,1,f,39,1998,1994.0,deploy,driver,incapacity
10-24,alive,none,belted,1,m,40,1998,1993.0,unavail,driver,no incapacity
25-39,alive,airbag,belted,0,m,28,1998,1997.0,nodeploy,driver,no incapacity
25-39,alive,none,none,1,f,19,1998,1987.0,unavail,driver,incapacity
10-24,alive,none,belted,0,f,34,1998,1986.0,unavail,pass,no incapacity
10-24,alive,none,belted,1,m,55,1998,1988.0,unavail,driver,no injury
10-24,alive,none,belted,1,m,53,1998,1988.0,unavail,pass,no incapacity
25-39,alive,airbag,none,0,f,43,1998,1994.0,deploy,driver,possible injury
40-54,alive,none,belted,1,m,52,1998,1993.0,unavail,driver,incapacity
10-24,alive,none,belted,0,f,16,1998,1989.0,unavail,driver,possible injury
10-24,alive,airbag,belted,0,m,29,1998,1990.0,nodeploy,driver,
10-24,alive,airbag,belted,0,f,75,1998,1994.0,nodeploy,driver,no injury
10-24,alive,airbag,belted,1,m,31,1998,1997.0,deploy,driver,no injury
25-39,alive,airbag,belted,0,f,28,1998,1993.0,nodeploy,driver,possible injury
10-24,alive,airbag,belted,0,m,31,1998,1998.0,nodeploy,driver,no injury
10-24,alive,airbag,belted,0,f,27,1998,1998.0,nodeploy,pass,no injury
10-24,alive,airbag,belted,1,m,62,1998,1995.0,deploy,driver,possible injury
25-39,alive,none,belted,1,m,18,1998,1987.0,unavail,driver,no injury
10-24,alive,airbag,belted,1,m,34,1998,1993.0,deploy,driver,possible injury
10-24,alive,airbag,belted,0,f,41,1998,1993.0,nodeploy,driver,possible injury
25-39,dead,airbag,belted,0,f,45,1998,1997.0,nodeploy,driver,killed
1-9km/h,alive,airbag,belted,1,m,70,1998,1993.0,deploy,driver,incapacity
1-9km/h,alive,airbag,belted,1,m,61,1998,1993.0,deploy,pass,no incapacity
10-24,alive,none,belted,0,f,16,1998,1989.0,unavail,pass,possible injury
10-24,alive,airbag,belted,0,f,16,1998,1997.0,deploy,driver,no incapacity
25-39,alive,airbag,belted,1,m,49,1998,1998.0,deploy,driver,possible injury
40-54,dead,none,belted,0,m,22,1998,1985.0,unavail,driver,killed
40-54,dead,none,belted,0,m,26,1998,1985.0,unavail,pass,killed
25-39,alive,airbag,belted,0,f,22,1998,1998.0,deploy,driver,incapacity
25-39,alive,airbag,belted,0,f,24,1998,1998.0,deploy,pass,no incapacity
25-39,alive,none,belted,1,m,16,1998,1989.0,unavail,driver,no injury
25-39,alive,none,belted,1,m,16,1998,1989.0,unavail,pass,no injury
55+,alive,none,none,1,f,22,1998,1987.0,unavail,driver,incapacity
10-24,alive,none,belted,0,m,78,1998,1986.0,unavail,driver,no injury
10-24,alive,none,belted,0,f,75,1998,1986.0,unavail,pass,no injury
1-9km/h,alive,airbag,belted,1,m,54,1998,1992.0,nodeploy,driver,no injury
1-9km/h,alive,airbag,belted,1,f,52,1998,1992.0,nodeploy,pass,no injury
10-24,alive,airbag,belted,0,f,43,1998,1997.0,deploy,driver,incapacity
10-24,alive,airbag,belted,0,m,40,1998,1997.0,deploy,pass,possible injury
25-39,alive,none,belted,1,f,30,1998,1990.0,unavail,driver,incapacity
40-54,dead,none,belted,1,m,49,1998,1985.0,unavail,driver,incapacity
40-54,alive,none,belted,1,f,56,1998,1987.0,unavail,driver,possible injury
10-24,alive,none,belted,0,f,45,1998,1992.0,unavail,driver,no incapacity
10-24,alive,none,belted,0,f,71,1998,1992.0,unavail,pass,incapacity
25-39,alive,none,belted,0,m,18,1998,1991.0,unavail,driver,possible injury
25-39,alive,none,belted,0,m,19,1998,1991.0,unavail,pass,possible injury
25-39,alive,airbag,belted,1,f,21,1998,1996.0,deploy,driver,possible injury
25-39,alive,airbag,belted,1,f,21,1998,1996.0,deploy,pass,possible injury
10-24,alive,none,belted,1,f,16,1998,1992.0,unavail,driver,no injury
10-24,alive,airbag,belted,0,m,31,1998,1997.0,nodeploy,driver,no injury
10-24,alive,none,belted,1,m,33,1998,1987.0,unavail,driver,no incapacity
10-24,alive,none,belted,1,m,24,1998,1987.0,unavail,pass,incapacity
10-24,alive,airbag,belted,1,f,62,1998,1996.0,nodeploy,driver,no injury
10-24,alive,none,belted,0,f,64,1998,1991.0,unavail,driver,possible injury
55+,alive,none,belted,1,f,27,1998,1995.0,unavail,driver,incapacity
40-54,alive,none,belted,1,f,38,1998,1991.0,unavail,driver,incapacity
25-39,alive,airbag,belted,1,m,68,1998,1996.0,deploy,driver,no injury
10-24,alive,none,belted,1,m,46,1998,1985.0,unavail,driver,possible injury
10-24,alive,airbag,belted,1,f,37,1998,1995.0,nodeploy,driver,no injury
25-39,alive,airbag,belted,0,m,16,1998,1995.0,nodeploy,driver,incapacity
10-24,alive,airbag,none,0,m,16,1998,1992.0,deploy,driver,incapacity
10-24,alive,airbag,belted,1,m,49,1998,1996.0,deploy,driver,no incapacity
10-24,alive,airbag,belted,1,f,50,1998,1996.0,deploy,pass,no incapacity
10-24,alive,none,belted,1,m,23,1998,1992.0,unavail,driver,possible injury
10-24,alive,airbag,belted,0,f,29,1998,1995.0,nodeploy,driver,possible injury
25-39,alive,airbag,belted,1,m,39,1998,1995.0,deploy,driver,no injury
40-54,alive,none,belted,0,m,20,1998,1992.0,unavail,driver,incapacity
25-39,alive,none,belted,1,m,37,1998,1975.0,unavail,driver,incapacity
10-24,alive,none,belted,1,m,26,1998,1989.0,unavail,driver,no injury
25-39,alive,airbag,none,0,m,38,1998,1996.0,nodeploy,driver,no injury
10-24,alive,airbag,belted,1,f,48,1998,1997.0,nodeploy,driver,no injury
10-24,alive,none,belted,0,m,17,1998,1990.0,unavail,driver,no injury
10-24,alive,airbag,belted,1,m,18,1998,1992.0,nodeploy,driver,no injury
10-24,alive,airbag,belted,1,f,18,1998,1992.0,nodeploy,pass,possible injury
10-24,alive,none,belted,0,m,17,1998,1993.0,unavail,driver,no injury
10-24,alive,airbag,belted,0,m,30,1998,1999.0,nodeploy,driver,no injury
10-24,alive,airbag,belted,1,f,28,1998,1996.0,deploy,driver,no incapacity
25-39,alive,airbag,belted,0,m,23,1998,1994.0,deploy,driver,no injury
25-39,alive,airbag,belted,0,m,25,1998,1994.0,deploy,pass,no injury
40-54,alive,airbag,belted,1,f,45,1998,1995.0,deploy,driver,no incapacity
25-39,alive,airbag,belted,1,m,16,1998,1998.0,deploy,driver,no injury
10-24,alive,airbag,belted,1,f,17,1998,1998.0,deploy,driver,no injury
10-24,alive,airbag,belted,1,f,21,1998,1998.0,deploy,driver,no injury
10-24,alive,airbag,belted,1,f,45,1998,1998.0,deploy,driver,possible injury
10-24,alive,airbag,belted,1,m,33,1998,1998.0,deploy,driver,no injury
25-39,alive,airbag,belted,1,f,46,1998,1998.0,deploy,driver,possible injury
25-39,alive,airbag,belted,1,m,38,1998,1999.0,deploy,driver,possible injury
25-39,alive,none,belted,1,m,41,1998,1999.0,unavail,pass,no injury
40-54,alive,airbag,belted,1,m,31,1998,1998.0,deploy,driver,no incapacity
10-24,alive,airbag,belted,1,f,32,1998,1998.0,deploy,driver,no incapacity
10-24,alive,airbag,none,0,m,41,1998,1998.0,nodeploy,driver,no injury
10-24,alive,airbag,none,0,f,37,1998,1998.0,nodeploy,pass,possible injury
10-24,alive,airbag,none,0,f,38,1998,1996.0,nodeploy,driver,incapacity
10-24,alive,none,none,0,f,40,1998,1979.0,unavail,driver,incapacity
25-39,alive,none,belted,1,f,23,1998,1990.0,unavail,driver,no injury
25-39,alive,none,belted,0,m,16,1998,1991.0,unavail,driver,no injury
40-54,alive,airbag,belted,1,m,43,1998,1995.0,deploy,driver,incapacity
25-39,alive,airbag,belted,1,m,31,1998,1995.0,deploy,driver,no injury
25-39,alive,airbag,belted,1,m,26,1998,1995.0,deploy,pass,no injury
25-39,alive,none,belted,1,m,45,1998,1980.0,unavail,driver,incapacity
25-39,alive,none,none,1,m,31,1998,1980.0,unavail,pass,incapacity
1-9km/h,alive,airbag,belted,0,f,18,1998,1997.0,nodeploy,driver,no injury
1-9km/h,alive,airbag,belted,0,f,44,1998,1997.0,nodeploy,pass,no injury
10-24,alive,none,none,1,f,20,1998,1985.0,unavail,driver,possible injury
25-39,alive,airbag,belted,1,m,21,1998,1994.0,deploy,driver,possible injury
25-39,alive,airbag,belted,1,f,40,1998,1993.0,deploy,driver,incapacity
25-39,alive,none,none,1,m,32,1998,1992.0,unavail,driver,incapacity
1-9km/h,alive,airbag,belted,0,m,46,1998,1995.0,deploy,driver,possible injury
10-24,alive,airbag,belted,1,m,20,1998,1997.0,deploy,driver,possible injury
25-39,alive,none,none,0,m,83,1998,1991.0,unavail,driver,incapacity
10-24,alive,none,belted,1,m,39,1998,1992.0,unavail,driver,no injury
10-24,alive,airbag,belted,0,f,65,1998,1993.0,nodeploy,driver,incapacity
10-24,alive,none,none,0,m,42,1998,1993.0,unavail,driver,no incapacity
25-39,dead,none,belted,0,f,22,1998,1988.0,unavail,driver,killed
10-24,alive,none,none,1,f,20,1998,1983.0,unavail,driver,incapacity
10-24,alive,none,none,1,m,28,1998,1989.0,unavail,driver,no injury
10-24,alive,none,belted,1,f,57,1998,1987.0,unavail,driver,possible injury
10-24,alive,none,belted,1,m,62,1998,1987.0,unavail,pass,possible injury
25-39,alive,none,belted,1,m,39,1998,1989.0,unavail,driver,incapacity
55+,alive,none,belted,1,m,34,1998,1993.0,unavail,driver,possible injury
40-54,alive,none,none,1,m,27,1998,1978.0,unavail,driver,incapacity
25-39,alive,none,belted,1,m,20,1998,1994.0,unavail,driver,incapacity
1-9km/h,alive,none,none,0,f,21,1998,1982.0,unavail,driver,incapacity
1-9km/h,alive,none,belted,0,f,24,1998,1982.0,unavail,pass,possible injury
10-24,alive,airbag,belted,1,f,37,1998,1995.0,deploy,driver,no injury
40-54,alive,none,none,1,m,24,1998,1984.0,unavail,driver,incapacity
40-54,alive,none,none,1,m,25,1998,1984.0,unavail,pass,incapacity
10-24,alive,airbag,belted,1,m,76,1998,1991.0,deploy,driver,incapacity
10-24,alive,none,belted,1,f,71,1998,1991.0,unavail,pass,incapacity
10-24,alive,none,belted,0,m,75,1998,1992.0,unavail,driver,incapacity
10-24,alive,none,belted,0,f,70,1998,1992.0,unavail,pass,incapacity
10-24,alive,airbag,belted,1,m,51,1998,1997.0,deploy,driver,incapacity
10-24,alive,airbag,belted,1,f,52,1998,1997.0,deploy,pass,incapacity
10-24,alive,none,belted,1,f,18,1998,1990.0,unavail,driver,possible injury
10-24,alive,airbag,belted,1,f,39,1998,1996.0,deploy,driver,incapacity
10-24,alive,airbag,belted,1,m,68,1998,1993.0,deploy,driver,possible injury
10-24,alive,none,belted,1,f,56,1998,1993.0,unavail,pass,no incapacity
25-39,alive,none,belted,0,f,26,1998,1990.0,unavail,driver,no incapacity
25-39,alive,none,belted,1,m,80,1998,1984.0,unavail,driver,incapacity
25-39,alive,none,none,0,f,43,1998,1986.0,unavail,driver,incapacity
25-39,alive,airbag,belted,1,m,31,1998,1997.0,deploy,driver,possible injury
55+,alive,none,belted,1,m,16,1998,1990.0,unavail,driver,incapacity
55+,alive,none,belted,1,m,17,1998,1990.0,unavail,pass,incapacity
55+,alive,none,none,1,m,30,1998,1976.0,unavail,driver,incapacity
55+,alive,none,none,1,m,33,1998,1976.0,unavail,pass,incapacity
10-24,alive,airbag,belted,1,f,34,1998,1997.0,deploy,driver,no injury
25-39,alive,airbag,belted,0,m,24,1998,1992.0,deploy,driver,possible injury
25-39,alive,none,belted,0,m,23,1998,1992.0,unavail,pass,incapacity
25-39,alive,none,belted,1,f,18,1998,1986.0,unavail,driver,incapacity
10-24,alive,airbag,belted,1,m,59,1998,1997.0,deploy,driver,incapacity
10-24,alive,airbag,belted,1,m,23,1998,1995.0,deploy,driver,possible injury
10-24,alive,airbag,belted,1,f,38,1998,1996.0,deploy,driver,possible injury
40-54,alive,none,belted,1,f,17,1998,1989.0,unavail,driver,no incapacity
40-54,dead,airbag,none,0,f,19,1998,1998.0,nodeploy,driver,killed
40-54,alive,airbag,belted,1,f,83,1998,1994.0,deploy,driver,incapacity
40-54,alive,none,belted,0,m,36,1998,1988.0,unavail,driver,incapacity
55+,dead,none,none,0,m,18,1998,1986.0,unavail,driver,killed
10-24,alive,airbag,belted,0,m,44,1998,1996.0,nodeploy,driver,incapacity
10-24,alive,airbag,belted,1,f,37,1998,1991.0,nodeploy,driver,no injury
40-54,alive,none,none,1,m,21,1998,1991.0,unavail,driver,incapacity
40-54,alive,none,belted,1,m,51,1998,1992.0,unavail,driver,incapacity
40-54,alive,none,belted,1,m,45,1998,1992.0,unavail,pass,incapacity
40-54,alive,airbag,none,1,m,17,1998,1992.0,nodeploy,driver,incapacity
55+,alive,none,none,1,m,19,1998,1989.0,unavail,driver,incapacity
55+,alive,none,belted,1,f,28,1998,1973.0,unavail,driver,incapacity
10-24,alive,none,belted,1,m,17,1998,1990.0,unavail,driver,incapacity
10-24,alive,none,belted,1,m,16,1998,1990.0,unavail,pass,possible injury
10-24,alive,airbag,belted,0,m,65,1998,1996.0,deploy,driver,no incapacity
10-24,alive,none,belted,1,f,35,1998,1991.0,unavail,driver,possible injury
10-24,alive,none,belted,0,f,39,1998,1991.0,unavail,driver,no injury
25-39,dead,none,none,1,m,55,1998,1987.0,unavail,driver,killed
10-24,alive,airbag,belted,1,f,28,1998,1995.0,deploy,driver,possible injury
10-24,alive,none,belted,0,f,16,1998,1990.0,unavail,driver,possible injury
10-24,alive,none,belted,0,f,16,1998,1990.0,unavail,pass,incapacity
10-24,alive,none,none,1,f,35,1998,1982.0,unavail,pass,incapacity
40-54,alive,none,none,1,f,29,1998,1979.0,unavail,driver,no incapacity
10-24,alive,airbag,belted,1,m,73,1998,1993.0,deploy,driver,no injury
10-24,alive,none,belted,0,m,47,1998,1984.0,unavail,driver,possible injury
10-24,alive,airbag,belted,1,m,67,1998,1998.0,nodeploy,driver,possible injury
25-39,alive,airbag,belted,1,m,24,1998,1996.0,nodeploy,driver,no injury
10-24,alive,none,none,1,f,47,1998,1986.0,unavail,driver,incapacity
10-24,dead,none,belted,0,f,69,1998,1987.0,unavail,driver,incapacity
10-24,alive,airbag,belted,1,f,51,1998,1995.0,deploy,driver,no incapacity
10-24,alive,airbag,belted,1,f,36,1998,1995.0,deploy,pass,no incapacity
55+,alive,none,belted,0,f,20,1998,1990.0,unavail,driver,incapacity
1-9km/h,alive,none,belted,0,m,28,1998,1990.0,unavail,driver,no injury
55+,alive,airbag,none,1,m,22,1998,1997.0,deploy,driver,incapacity
55+,alive,airbag,none,1,m,20,1998,1997.0,deploy,pass,no incapacity
55+,dead,none,none,0,f,85,1998,1985.0,unavail,driver,killed
25-39,alive,airbag,belted,0,f,30,1998,1993.0,nodeploy,driver,no incapacity
25-39,alive,airbag,belted,0,m,33,1998,1993.0,nodeploy,pass,no incapacity
10-24,alive,none,belted,1,m,34,1998,1993.0,unavail,driver,no incapacity
25-39,alive,none,none,1,m,44,1998,1991.0,unavail,driver,incapacity
25-39,alive,none,none,1,m,59,1998,1991.0,unavail,driver,incapacity
25-39,alive,none,none,1,f,67,1998,1991.0,unavail,pass,incapacity
25-39,alive,none,none,1,f,32,1998,1986.0,unavail,driver,incapacity
40-54,alive,none,none,1,f,36,1998,1986.0,unavail,driver,incapacity
25-39,alive,none,belted,1,m,17,1998,1990.0,unavail,driver,incapacity
25-39,alive,none,none,1,m,24,1998,1990.0,unavail,driver,incapacity
10-24,alive,none,belted,1,f,59,1998,1987.0,unavail,driver,possible injury
10-24,alive,airbag,belted,0,m,34,1998,1995.0,nodeploy,driver,possible injury
10-24,alive,airbag,belted,1,f,22,1998,1994.0,deploy,driver,no incapacity
25-39,alive,airbag,none,1,f,38,1998,1998.0,deploy,driver,incapacity
55+,alive,none,none,1,m,35,1998,1983.0,unavail,driver,incapacity
10-24,alive,none,belted,1,m,31,1998,1993.0,unavail,driver,no injury
10-24,alive,none,none,0,m,57,1998,1981.0,unavail,driver,incapacity
